"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BPCL","2017-09-14","620","632","614","619","0.16","3145"
"BPCL","2017-09-17","625","637","625","625","0.97","788"
"BPCL","2017-09-18","620","623","619","619","-0.96","1042"
"BPCL","2017-09-20","620","620","616","620","0.16","1155"
"BPCL","2017-09-24","610","612","610","612","-1.29","371"
"BPCL","2017-09-25","624","624","624","624","1.96","50"
"BPCL","2017-09-26","624","624","620","624","-0.64","595"
"BPCL","2017-10-03","632","635","632","635","2.42","110"
"BPCL","2017-10-04","646","646","637","640","0.79","2470"
"BPCL","2017-10-08","628","628","611","615","-3.91","660"
"BPCL","2017-10-09","615","629","608","628","2.11","4418"
"BPCL","2017-10-10","616","616","609","611","-2.71","907"
"BPCL","2017-10-11","615","615","610","610","-0.16","1715"
"BPCL","2017-10-15","600","615","600","615","0.82","1425"
"BPCL","2017-10-16","617","646","617","646","5.04","40696"
"BPCL","2017-10-17","657","657","617","642","-0.62","38258"
"BPCL","2017-10-18","635","642","635","642","0.00","800"
"BPCL","2017-10-22","645","645","620","644","0.31","38450"
"BPCL","2017-10-23","644","650","636","645","0.16","22420"
"BPCL","2017-10-24","645","645","618","640","-0.78","42624"
"BPCL","2017-10-25","640","640","628","633","-1.09","3330"
"BPCL","2017-10-29","628","629","620","624","-1.90","28965"
"BPCL","2017-10-30","617","630","612","628","1.13","30750"
"BPCL","2017-10-31","625","625","615","616","-2.07","2120"
"BPCL","2017-11-01","615","628","612","613","-0.33","10266"
"BPCL","2017-11-02","625","625","613","617","0.65","841"
"BPCL","2017-11-05","608","608","605","605","-1.94","743"
"BPCL","2017-11-06","605","618","594","605","0.00","2890"
"BPCL","2017-11-07","617","617","605","605","0.00","4677"
"BPCL","2017-11-08","595","617","594","605","0.00","902"
"BPCL","2017-11-09","616","616","605","605","0.83","1680"
"BPCL","2017-11-12","610","625","610","625","2.46","210"
"BPCL","2017-11-13","616","625","613","620","-0.80","21126"
"BPCL","2017-11-14","621","640","612","633","2.10","23834"
"BPCL","2017-11-15","635","635","628","628","-0.47","2258"
"BPCL","2017-11-16","618","619","617","619","-1.75","5600"
"BPCL","2017-11-19","619","631","609","615","-0.65","2809"
"BPCL","2017-11-20","611","615","610","615","0.00","650"
"BPCL","2017-11-21","627","627","615","615","0.00","434"
"BPCL","2017-11-22","627","639","615","628","2.11","20382"
"BPCL","2017-11-23","628","658","630","650","3.50","44041"
"BPCL","2017-11-26","650","685","660","679","4.46","32945"
"BPCL","2017-11-27","692","692","665","682","0.29","54675"
"BPCL","2017-11-28","675","717","670","704","3.38","57222"
"BPCL","2017-11-29","710","732","706","718","1.99","97076"
"BPCL","2017-11-30","732","741","702","729","1.53","64779"
"BPCL","2017-12-04","735","735","718","725","-0.55","41690"
"BPCL","2017-12-05","739","783","732","740","2.07","134904"
"BPCL","2017-12-06","751","750","735","739","-0.14","28405"
"BPCL","2017-12-10","753","770","740","746","0.95","71405"
"BPCL","2017-12-11","745","748","733","745","-0.13","23786"
"BPCL","2017-12-12","737","740","730","735","-1.34","33355"
"BPCL","2017-12-13","745","745","731","742","0.95","15965"
"BPCL","2017-12-14","742","742","723","729","-1.89","9989"
"BPCL","2017-12-17","731","735","721","721","-1.90","17568"
"BPCL","2017-12-18","727","729","717","725","0.55","19022"
"BPCL","2017-12-19","720","721","715","719","-0.83","11670"
"BPCL","2017-12-20","710","724","701","706","-1.81","8920"
"BPCL","2017-12-21","720","720","696","702","-0.57","7862"
"BPCL","2017-12-24","709","714","698","700","-0.28","9293"
"BPCL","2017-12-26","690","703","682","685","-2.14","17642"
"BPCL","2017-12-27","698","698","670","672","-1.90","18606"
"BPCL","2017-12-28","665","685","665","671","-0.15","13493"
"BPCL","2017-12-31","684","684","664","675","0.60","12808"
"BPCL","2018-01-01","688","693","675","691","2.37","16391"
"BPCL","2018-01-02","685","694","685","687","-0.87","8147"
"BPCL","2018-01-03","687","687","676","677","-1.17","4950"
"BPCL","2018-01-04","690","690","680","680","0.44","70"
"BPCL","2018-01-07","685","692","680","680","0.00","3574"
